Station,Local authority,Managed by,Stationcode,Farezone,Yearopened,Category,latitude,longitude
"Gipsy Hill station, London, UK",Lambeth,Southern,GIP,3,1856,E, _51.4246 ,-0.0840
"Goodmayes station, London, UK",Redbridge,Elizabeth line,GMY,4,1901,C, _51.5655 ,0.1109
"Gordon Hill station, London, UK",Enfield,Great Northern,GDH,5,1910,D, _51.6632 ,-0.0943
"Gospel Oak station, London, UK",Camden,London Overground,GPO,2,1860,D, _51.5552 ,-0.1514
"Grange Park station, London, UK",Enfield,Great Northern,GPK,5,1910,E, _51.6431 ,-0.0969
"Grays station, London, UK",Thurrockout-boundary,c2c,GRY,G,1854,C, _51.4760 ,0.3220
"Greenford station, London, UK",Ealing,London Underground,GFD,4,1904,unlisted, _51.5426 ,-0.3463
"Greenwich station, London, UK",Greenwich,Southeastern,GNW,02-Mar,1836,D, _51.4782 ,-0.0134
"Grove Park station, London, UK",Lewisham,Southeastern,GRP,4,1871,C, _51.4306 ,0.0219
"Gunnersbury station, London, UK",Hounslow,London Underground,GUN,3,1869,D, _51.4918 ,-0.2750
"Hackbridge station, London, UK",Sutton,Southern,HCB,4,1868,E, _51.3778 ,-0.1539
"Hackney Central station, London, UK",Hackney,London Overground,HKC,2,1980c,D, _51.5470 ,-0.0559
"Hackney Downs station, London, UK",Hackney,London Overground,HAC,2,1872,C, _51.5483 ,-0.0601
"Hackney Wick station, London, UK",Tower Hamlets,London Overground,HKW,2,1980,E, _51.5432 ,-0.0249
"Hadley Wood station, London, UK",Enfield,Great Northern,HDW,6,1885,E, _51.6688 ,-0.1761
"Haggerston station, London, UK",Hackney,London Overground,HGG,2,2010c,unlisted, _51.5381 ,-0.0736
"Hampstead Heath station, London, UK",Camden,London Overground,HDH,2,1860,D, _51.5553 ,-0.1654
"Hampton station, London, UK",Richmond upon Thames,South Western Railway,HMP,6,1864,C, _51.4159 ,-0.3717
"Hampton Court station, London, UK",Elmbridgeout-boundary,South Western Railway,HMC,6,1849,C, _51.4028 ,-0.3425
"Hampton Wick station, London, UK",Richmond upon Thames,South Western Railway,HMW,6,1863,D, _51.4141 ,-0.3107
"Hanwell station, London, UK",Ealing,Elizabeth line,HAN,4,1839,E, _51.5116 ,-0.3389
"Harlesden station, London, UK",Brent,London Underground,HDN,3,1912,E, _51.5363 ,-0.2581
"Harold Wood station, London, UK",Havering,Elizabeth line,HRO,6,1868,C, _51.5928 ,0.2343
"Harringay station, London, UK",Haringey,Great Northern,HGY,3,1865,D, _51.5770 ,-0.1052
"Harringay Green Lanes station, London, UK",Haringey,London Overground,HRY,3,1880,E, _51.5774 ,-0.0977
"Harrow & Wealdstone station, London, UK",Harrow,London Underground,HRW,5,1837,C, _51.5921 ,-0.3347
"Harrow-on-the-Hill station, London, UK",Harrow,London Underground,HOH,5,1880,unlisted, _51.5794 ,-0.3370
"Hatch End station, London, UK",Harrow,London Overground,HTE,6,1844,E, _51.6097 ,-0.3682
"Haydons Road station, London, UK",Merton,Thameslink,HYR,3,1868,E, _51.4255 ,-0.1880
"Hayes station, London, UK",Bromley,Southeastern,HYS,5,1882,D, _51.3765 ,0.0102
"Hayes & Harlington station, London, UK",Hillingdon,Elizabeth line,HAY,5,1864,D, _51.5031 ,-0.4203
"Headstone Lane station, London, UK",Harrow,London Overground,HDL,5,1917,E, _51.6019 ,-0.3566
"Heathrow Central station, London, UK",Hillingdon,Heathrow Express,HXX,6,1999,unlisted, _51.4710 ,-0.4540
"Heathrow Terminal 4 station, London, UK",Hillingdon,Heathrow Express,HAF,6,1999,unlisted, _51.4580 ,-0.4450
"Heathrow Terminal 5 station, London, UK",Hillingdon,Heathrow Express,HWV,6,2008,unlisted, _51.4723 ,-0.4880
"Hendon station, London, UK",Barnet,Thameslink,HEN,03-Apr,1868,E, _51.5800 ,-0.2389
"Herne Hill station, London, UK",Lambeth,Southeastern,HNH,02-Mar,1862,C, _51.4533 ,-0.1021
"Highams Park station, London, UK",Waltham Forest,London Overground,HIP,4,1873,C, _51.6084 ,-0.0001
"Highbury & Islington station, London, UK",Islington,London Underground,HHY,2,1872,C/Fe, _51.5458 ,-0.1050
"Hither Green station, London, UK",Lewisham,Southeastern,HGR,3,1866,C, _51.4519 ,-0.0008
"Homerton station, London, UK",Hackney,London Overground,HMN,2,1868,E, _51.5470 ,-0.0431
"Honor Oak Park station, London, UK",Lewisham,London Overground,HPA,3,1886,D, _51.4501 ,-0.0456
"Hornsey station, London, UK",Haringey,Great Northern,HRN,3,1850,D, _51.5862 ,-0.1116
"Hounslow station, London, UK",Hounslow,South Western Railway,HOU,5,1849,D, _51.4620 ,-0.3622
"Hoxton station, London, UK",Hackney,London Overground,HOX,01-Feb,2010,unlisted, _51.5318 ,-0.0754
"Ilford station, London, UK",Redbridge,Elizabeth line,IFD,4,1839,C, _51.5586 ,0.0696
"Imperial Wharf station, London, UK",Hammersmith and Fulham,London Overground,IMW,2,2009,E, _51.4751 ,-0.1828
"Isleworth station, London, UK",Hounslow,South Western Railway,ISL,4,1850,F, _51.4749 ,-0.3370
"Kenley station, London, UK",Croydon,Southern,KLY,6,1856,E, _51.3246 ,-0.1007
"Kensal Green station, London, UK",Brent,London Underground,KNL,2,1916,E, _51.5306 ,-0.2243
"Kensal Rise station, London, UK",Brent,London Overground,KNR,2,1873,E, _51.5345 ,-0.2204
"Kensington (Olympia) station, London, UK",Kensington and Chelsea,London Overground,KPA,2,1864,C, _51.4985 ,-0.2110
"Kent House station, London, UK",Bromley,Southeastern,KTH,4,1884,D, _51.4123 ,-0.0453
"Kentish Town station, London, UK",Camden,London Underground,KTN,2,1868,F, _51.5505 ,-0.1396
"Kentish Town West station, London, UK",Camden,London Overground,KTW,2,1860,E, _51.5468 ,-0.1468
"Kenton station, London, UK",Brent,London Underground,KNT,4,1912,E, _51.5818 ,-0.3167
"Kew Bridge station, London, UK",Hounslow,South Western Railway,KWB,3,1849,F, _51.4895 ,-0.2878
"Kew Gardens station, London, UK",Richmond upon Thames,London Underground,KWG,03-Apr,1870,D, _51.4772 ,-0.2849
"Kidbrooke station, London, UK",Greenwich,Southeastern,KDB,3,1895,D, _51.4621 ,0.0273
"Kilburn High Road station, London, UK",Camden,London Overground,KBN,2,1852,E, _51.5373 ,-0.1925
"King's CrossLondon station, London, UK",Camden,Network Rail,KGX,1,1852,A, _51.5324 ,-0.1233
"Kingston station, London, UK",Kingston upon Thames,South Western Railway,KNG,6,1845,C, _51.4129 ,-0.3019
"Kingswood station, London, UK",Reigate and Bansteadout-boundary,Southern,KND,6,1897,E, _51.2950 ,-0.2110
"Knockholt station, London, UK",Bromley,Southeastern,KCK,6,1876,E, _51.3459 ,0.1307
"Ladywell station, London, UK",Lewisham,Southeastern,LAD,3,1857,E, _51.4562 ,-0.0192
"Lea Bridge station, London, UK",Waltham Forest,Greater Anglia,LEB,3,2016c,unknown, _51.5665 ,-0.0366
"Lee station, London, UK",Lewisham,Southeastern,LEE,3,1866,D, _51.4497 ,0.0128
"Lewisham station, London, UK",Lewisham,Southeastern,LEW,02-Mar,1849,C, _51.4658 ,-0.0141
"Leyton Midland Road station, London, UK",Waltham Forest,London Overground,LEM,3,1894,E, _51.5693 ,-0.0072
"Leytonstone High Road station, London, UK",Waltham Forest,London Overground,LER,3,1894,E, _51.5634 ,0.0073
"Limehouse station, London, UK",Tower Hamlets,c2c,LHS,2,1840,E, _51.5126 ,-0.0402
"Liverpool StreetLondon station, London, UK",City of London,Network Rail,LST,1,1874,A, _51.5185 ,-0.0819
"London BridgeLondon station, London, UK",Southwark,Network Rail,LBG,1,1836,A, _51.5053 ,-0.0851
"London Fields station, London, UK",Hackney,London Overground,LOF,2,1872,F, _51.5407 ,-0.0577
"Loughborough Junction station, London, UK",Lambeth,Thameslink,LGJ,2,1864,E, _51.4661 ,-0.1020
"Lower Sydenham station, London, UK",Lewisham,Southeastern,LSY,4,1857,E, _51.4245 ,-0.0336
"Malden Manor station, London, UK",Kingston upon Thames,South Western Railway,MAL,4,1938,E, _51.3847 ,-0.2618
"Manor Park station, London, UK",Newham,Elizabeth line,MNP,03-Apr,1872,C, _51.5526 ,0.0463
"Maryland station, London, UK",Newham,Elizabeth line,MYL,3,1874,D, _51.5460 ,0.0059
"Meridian Water station, London, UK",Enfield,Greater Anglia,MRW,4,2019,??, _51.6083 ,-0.0509
"MaryleboneLondon station, London, UK",Westminster,Chiltern Railways,MYB,1,1899,A, _51.5231 ,-0.1630
"Maze Hill station, London, UK",Greenwich,Southeastern,MZH,3,1873,D, _51.4830 ,0.0032
"Mill Hill Broadway station, London, UK",Barnet,Thameslink,MIL,4,1868,D, _51.6128 ,-0.2491
"Mitcham Eastfields station, London, UK",Merton,Southern,MTC,3,2008,E, _51.4077 ,-0.1547
"Mitcham Junction station, London, UK",Merton,Southern,MIJ,4,1868,E, _51.3930 ,-0.1576
"MoorgateLondon station, London, UK",City of London,London Underground,MOG,1,1865,E, _51.5187 ,-0.0896
"Morden South station, London, UK",Merton,Thameslink,MDS,4,1930,F, _51.3965 ,-0.1990
"Mortlake station, London, UK",Richmond upon Thames,South Western Railway,MTL,3,1846,C, _51.4682 ,-0.2672
"Motspur Park station, London, UK",Merton,South Western Railway,MOT,4,1938,C, _51.3958 ,-0.2397
"Mottingham station, London, UK",Greenwich,Southeastern,MTG,4,1866,D, _51.4401 ,0.0504
"New Barnet station, London, UK",Barnet,Great Northern,NBA,5,1857,D, _51.6488 ,-0.1738
