,Station,Local authority,Managed by,Stationcode,Farezone,Yearopened,Category,Coordinates
354,"West Norwood station, London, UK",Lambeth,Southern,WNW,3,1856,D,51°25′54″N 0°06′13″W﻿ / ﻿51.4318°N 0.1035°W
355,"West Ruislip station, London, UK",Hillingdon,Chiltern Railways,WRU,6,1906,F,51°34′11″N 0°26′15″W﻿ / ﻿51.5696°N 0.4376°W
356,"West Sutton station, London, UK",Sutton,Thameslink,WSU,5,1930,E,51°21′58″N 0°12′18″W﻿ / ﻿51.3662°N 0.2051°W
357,"West Wickham station, London, UK",Bromley,Southeastern,WWI,5,1882,D,51°22′53″N 0°00′52″W﻿ / ﻿51.3813°N 0.0145°W
358,"Whitechapel station, London, UK",Tower Hamlets,London Underground,ZLW,2,1876,unlisted,51°31′08″N 0°03′40″W﻿ / ﻿51.5190°N 0.0610°W
359,"White Hart Lane station, London, UK",Haringey,London Overground,WHL,3,1872,E,51°36′18″N 0°04′16″W﻿ / ﻿51.6049°N 0.0711°W
360,"Whitton station, London, UK",Richmond upon Thames,South Western Railway,WTN,5,1930,C,51°26′58″N 0°21′28″W﻿ / ﻿51.4495°N 0.3578°W
361,"Whyteleafe station, London, UK",Tandridgeout-boundary,Southern,WHY,6,1900,E,51°18′35″N 0°04′52″W﻿ / ﻿51.3097°N 0.0811°W
362,"Whyteleafe South station, London, UK",Tandridgeout-boundary,Southern,WHS,6,1856,E,51°18′12″N 0°04′36″W﻿ / ﻿51.3034°N 0.0768°W
363,"Willesden Junction station, London, UK",Brent,London Overground,WIJ,2/3,1866,C,51°31′57″N 0°14′38″W﻿ / ﻿51.5324°N 0.2439°W
364,"Wimbledon station, London, UK",Merton,South Western Railway,WIM,3,1838,B,51°25′24″N 0°12′15″W﻿ / ﻿51.4232°N 0.2043°W
365,"Wimbledon Chase station, London, UK",Merton,Thameslink,WBO,3,1930,F,51°24′34″N 0°12′51″W﻿ / ﻿51.4095°N 0.2142°W
366,"Winchmore Hill station, London, UK",Enfield,Great Northern,WIH,4,1871,D,51°38′03″N 0°06′05″W﻿ / ﻿51.6341°N 0.1013°W
367,"Woodgrange Park station, London, UK",Newham,London Overground,WGR,3/4,1894,E,51°32′55″N 0°02′43″E﻿ / ﻿51.5487°N 0.0454°E
368,"Woodmansterne station, London, UK",Croydon,Southern,WME,6,1904,E,51°19′09″N 0°09′14″W﻿ / ﻿51.3192°N 0.1539°W
369,"Wood Street station, London, UK",Waltham Forest,London Overground,WST,4,1873,D,51°35′11″N 0°00′08″W﻿ / ﻿51.5864°N 0.0021°W
370,"Woolwich station, London, UK",Greenwich,Elizabeth line,WWC,2,2022,unlisted,51°29′30″N 0°04′19″E﻿ / ﻿51.491578°N 0.071819°E
371,"Woolwich Arsenal station, London, UK",Greenwich,Southeastern,WWA,4,1849,C,51°29′23″N 0°04′10″E﻿ / ﻿51.4898°N 0.0694°E
372,"Woolwich Dockyard station, London, UK",Greenwich,Southeastern,WWD,3,1849,E,51°29′29″N 0°03′13″E﻿ / ﻿51.4913°N 0.0536°E
373,"Worcester Park station, London, UK",Sutton,South Western Railway,WCP,4,1859,C,51°22′49″N 0°14′28″W﻿ / ﻿51.3804°N 0.2412°W
