,Station,Local authority,Managed by,Stationcode,Farezone,Yearopened,Category,Coordinates
103,"Elstree & Borehamwood station, London, UK",Hertsmereout-boundary,Thameslink,ELS,6,1868,E,51°39′11″N 0°16′49″W﻿ / ﻿51.6531°N 0.2802°W
104,"Eltham station, London, UK",Greenwich,Southeastern,ELW,4,1895,C,51°27′20″N 0°03′05″E﻿ / ﻿51.4555°N 0.0515°E
105,"Emerson Park station, London, UK",Havering,London Overground,EMP,6,1909,F,51°34′07″N 0°13′13″E﻿ / ﻿51.5687°N 0.2204°E
106,"Enfield Chase station, London, UK",Enfield,Great Northern,ENC,5,1910,D,51°39′10″N 0°05′27″W﻿ / ﻿51.6529°N 0.0908°W
107,"Enfield Lock station, London, UK",Enfield,Greater Anglia,ENL,6,1855,E,51°40′15″N 0°01′42″W﻿ / ﻿51.6709°N 0.0284°W
108,"Enfield Town station, London, UK",Enfield,London Overground,ENF,5,1849,C,51°39′06″N 0°04′45″W﻿ / ﻿51.6516°N 0.0792°W
109,"Epsom Downs station, London, UK",Epsom and Ewellout-boundary,Southern,EPD,6,1865,F,51°19′25″N 0°14′20″W﻿ / ﻿51.3237°N 0.2389°W
110,"Erith station, London, UK",Bexley,Southeastern,ERH,6,1849,E,51°28′54″N 0°10′31″E﻿ / ﻿51.4816°N 0.1754°E
111,"Essex Road station, London, UK",Islington,Great Northern,EXR,2,1904,E,51°32′26″N 0°05′47″W﻿ / ﻿51.5406°N 0.0963°W
112,"EustonLondon station, London, UK",Camden,Network Rail,EUS,1,1837,A,51°31′43″N 0°08′04″W﻿ / ﻿51.5287°N 0.1345°W
113,"Ewell East station, London, UK",Epsom and Ewellout-boundary,Southern,EWE,6,1847,E,51°20′42″N 0°14′31″W﻿ / ﻿51.3451°N 0.2419°W
114,"Ewell West station, London, UK",Epsom and Ewellout-boundary,South Western Railway,EWW,6,1859,C,51°21′01″N 0°15′25″W﻿ / ﻿51.3502°N 0.2569°W
115,"Falconwood station, London, UK",Bexley,Southeastern,FCN,4,1936,D,51°27′33″N 0°04′48″E﻿ / ﻿51.4592°N 0.0799°E
116,"Farringdon station, London, UK",Islington,London Underground,ZFD,1,1863,E,51°31′14″N 0°06′19″W﻿ / ﻿51.5206°N 0.1053°W
117,"Feltham station, London, UK",Hounslow,South Western Railway,FEL,6,1848,C,51°26′53″N 0°24′32″W﻿ / ﻿51.4481°N 0.4088°W
118,"Fenchurch StreetLondon station, London, UK",City of London,c2c,FST,1,1841,A,51°30′41″N 0°04′42″W﻿ / ﻿51.5114°N 0.0783°W
119,"Finchley Road & Frognal station, London, UK",Camden,London Overground,FNY,2,1860,E,51°33′00″N 0°11′01″W﻿ / ﻿51.5499°N 0.1837°W
120,"Finsbury Park station, London, UK",Islington,Great Northern,FPK,2,1861,C,51°33′53″N 0°06′23″W﻿ / ﻿51.564653°N 0.106366°W
121,"Forest Gate station, London, UK",Newham,Elizabeth line,FOG,3,1839,C,51°32′58″N 0°01′27″E﻿ / ﻿51.5494°N 0.0242°E
122,"Forest Hill station, London, UK",Lewisham,London Overground,FOH,3,1839,C,51°26′21″N 0°03′12″W﻿ / ﻿51.4393°N 0.0533°W
123,"Fulwell station, London, UK",Richmond upon Thames,South Western Railway,FLW,6,1864,E,51°26′00″N 0°21′03″W﻿ / ﻿51.4334°N 0.3508°W
124,"Gidea Park station, London, UK",Havering,Elizabeth line,GDP,6,1910,C,51°34′55″N 0°12′23″E﻿ / ﻿51.5820°N 0.2063°E
125,"Gipsy Hill station, London, UK",Lambeth,Southern,GIP,3,1856,E,51°25′29″N 0°05′02″W﻿ / ﻿51.4246°N 0.0840°W
126,"Goodmayes station, London, UK",Redbridge,Elizabeth line,GMY,4,1901,C,51°33′56″N 0°06′39″E﻿ / ﻿51.5655°N 0.1109°E
127,"Gordon Hill station, London, UK",Enfield,Great Northern,GDH,5,1910,D,51°39′48″N 0°05′39″W﻿ / ﻿51.6632°N 0.0943°W
128,"Gospel Oak station, London, UK",Camden,London Overground,GPO,2,1860,D,51°33′19″N 0°09′05″W﻿ / ﻿51.5552°N 0.1514°W
129,"Grange Park station, London, UK",Enfield,Great Northern,GPK,5,1910,E,51°38′35″N 0°05′49″W﻿ / ﻿51.6431°N 0.0969°W
130,"Grays station, London, UK",Thurrockout-boundary,c2c,GRY,G,1854,C,51°28′34″N 0°19′19″E﻿ / ﻿51.4760°N 0.3220°E
131,"Greenford station, London, UK",Ealing,London Underground,GFD,4,1904,unlisted,51°32′33″N 0°20′47″W﻿ / ﻿51.5426°N 0.3463°W
132,"Greenwich station, London, UK",Greenwich,Southeastern,GNW,2/3,1836,D,51°28′42″N 0°00′48″W﻿ / ﻿51.4782°N 0.0134°W
133,"Grove Park station, London, UK",Lewisham,Southeastern,GRP,4,1871,C,51°25′50″N 0°01′19″E﻿ / ﻿51.4306°N 0.0219°E
134,"Gunnersbury station, London, UK",Hounslow,London Underground,GUN,3,1869,D,51°29′30″N 0°16′30″W﻿ / ﻿51.4918°N 0.2750°W
135,"Hackbridge station, London, UK",Sutton,Southern,HCB,4,1868,E,51°22′40″N 0°09′14″W﻿ / ﻿51.3778°N 0.1539°W
136,"Hackney Central station, London, UK",Hackney,London Overground,HKC,2,1980c,D,51°32′49″N 0°03′21″W﻿ / ﻿51.5470°N 0.0559°W
137,"Hackney Downs station, London, UK",Hackney,London Overground,HAC,2,1872,C,51°32′54″N 0°03′36″W﻿ / ﻿51.5483°N 0.0601°W
138,"Hackney Wick station, London, UK",Tower Hamlets,London Overground,HKW,2,1980,E,51°32′36″N 0°01′30″W﻿ / ﻿51.5432°N 0.0249°W
139,"Hadley Wood station, London, UK",Enfield,Great Northern,HDW,6,1885,E,51°40′08″N 0°10′34″W﻿ / ﻿51.6688°N 0.1761°W
140,"Haggerston station, London, UK",Hackney,London Overground,HGG,2,2010c,unlisted,51°32′17″N 0°04′25″W﻿ / ﻿51.5381°N 0.0736°W
141,"Hampstead Heath station, London, UK",Camden,London Overground,HDH,2,1860,D,51°33′19″N 0°09′55″W﻿ / ﻿51.5553°N 0.1654°W
142,"Hampton station, London, UK",Richmond upon Thames,South Western Railway,HMP,6,1864,C,51°24′57″N 0°22′18″W﻿ / ﻿51.4159°N 0.3717°W
143,"Hampton Court station, London, UK",Elmbridgeout-boundary,South Western Railway,HMC,6,1849,C,51°24′10″N 0°20′33″W﻿ / ﻿51.4028°N 0.3425°W
144,"Hampton Wick station, London, UK",Richmond upon Thames,South Western Railway,HMW,6,1863,D,51°24′51″N 0°18′39″W﻿ / ﻿51.4141°N 0.3107°W
